Y,YRT70-F30,YRT70-F30S,YRT70-F29,YRT70-F28,YRT70-F27,YRT70-M26,YRT70-M25,YRT70-M24,YRT70-M23,YRT70-M22,YRT70-F22,YRT70-F21,YRT70-M19,YRT70-M18,YRT85-F30,YRT85-F29,YRT85-F28,YRT85-M26,YRT85-M25,YRT85-M24,YRT85-M23,YRT85-F22,YRT85-F21,YRT85-M19,YRT85-M18,LEVEL-F29,LEVEL-F28,LEVEL-M25,LEVEL-M23,LEVEL-F21,LEVEL-M18
19,3.380004,3.380004,3.110000,2.890000,2.700000,5.889996,5.986000,2.770000,2.650000,2.530000,2.090000,2.020000,2.270000,2.220000,1.820004,1.700004,1.599996,3.567000,3.400000,1.610004,1.570000,1.260000,1.230000,1.430004,1.400000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
20,3.650004,3.650004,3.330000,3.070000,2.830000,6.136992,6.232000,2.870000,2.710000,2.570000,2.150000,2.070000,2.290000,2.220000,1.970004,1.820004,1.700004,3.710496,3.550000,1.659996,1.600000,1.290000,1.260000,1.440000,1.400000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
21,3.909996,3.909996,3.600000,3.280000,2.990000,6.459996,6.519000,2.990000,2.810000,2.660000,2.230000,2.130000,2.340000,2.260000,2.100000,1.970004,1.820004,3.915504,3.710000,1.730004,1.660000,1.340004,1.290000,1.470000,1.430000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
22,4.209996,4.209996,3.850000,3.530000,3.220000,6.897000,6.867500,3.120000,2.930000,2.760000,2.300000,2.200000,2.400000,2.320000,2.270004,2.100000,1.959996,4.182000,3.920000,1.809996,1.730000,1.380000,1.340000,1.509996,1.460000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
23,4.580004,4.580004,4.150000,3.760000,3.430000,7.353000,7.339000,3.290000,3.070000,2.880000,2.380000,2.250000,2.450000,2.370000,2.469996,2.270004,2.079996,4.448496,4.180000,1.910004,1.810000,1.430004,1.370000,1.539996,1.500000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
24,4.950000,4.950000,4.510000,4.090000,3.690000,7.884996,7.831000,3.520000,3.230000,3.010000,2.500000,2.340000,2.520000,2.430000,2.670000,2.469996,2.270004,4.776504,4.450000,2.040000,1.910000,1.500000,1.420000,1.590000,1.530000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
25,5.340000,5.340000,4.880000,4.450000,4.030000,8.473992,8.384500,3.740000,3.450000,3.170000,2.620000,2.440000,2.590000,2.470000,2.880000,2.670000,2.469996,5.145492,4.780000,2.169996,2.040000,1.569996,1.480000,1.629996,1.560000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
26,5.749992,5.749992,5.260000,4.810000,4.390000,9.291000,9.020000,4.020000,3.650000,3.360000,2.790000,2.580000,2.720000,2.570000,3.090000,2.880000,2.670000,5.637492,5.150000,2.330004,2.160000,1.670004,1.570000,1.710000,1.620000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
27,6.169992,6.169992,5.660000,5.190000,4.730000,9.975000,9.717000,4.320000,3.940000,3.580000,2.970000,2.760000,2.840000,2.690000,3.320004,3.090000,2.880000,6.047496,5.540000,2.510004,2.330000,1.779996,1.670000,1.790004,1.700000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
28,6.709992,6.709992,6.080000,5.570000,5.070000,10.734996,10.578000,4.650000,4.210000,3.840000,3.200000,2.940000,3.000000,2.810000,3.609996,3.320004,3.080004,6.519000,6.030000,2.700000,2.490000,1.920000,1.780000,1.880004,1.780000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
29,7.369992,7.369992,6.610000,5.990000,5.420000,11.551992,11.439000,5.060000,4.570000,4.130000,3.440000,3.160000,3.210000,2.970000,3.969996,3.609996,3.320004,6.990492,6.520000,2.940000,2.700000,2.070000,1.920000,2.010000,1.870000,5.030000,4.870000,8.840000,4.410000,3.580000,3.790000
