Year,Month,FV_BOY,Deposit,TAX,FV1,FaceValue,NAAR,COI_Rate,COI,FV_Net,AnnualRate,Growth,FV_EOY
1,1,0.0,58720.0,1937.76,56782.24,10000000.0,9943217.76,2.139996,1773.20385279408,55009.036147205916,0.0425,191.12862124068042,55200.16476844659
1,2,55200.16476844659,0.0,0.0,55200.16476844659,10000000.0,9944799.835231554,2.139996,1773.4859890163486,53426.67877943024,0.0425,185.6307284725964,53612.30950790284
1,3,53612.30950790284,0.0,0.0,53612.30950790284,10000000.0,9946387.690492097,2.139996,1773.7691560085273,51838.54035189431,0.0425,180.11274944126043,52018.65310133557
1,4,52018.65310133557,0.0,0.0,52018.65310133557,10000000.0,9947981.346898664,2.139996,1774.053357536479,50244.59974379909,0.0425,174.5746107625618,50419.17435456165
1,5,50419.17435456165,0.0,0.0,50419.17435456165,10000000.0,9949580.825645437,2.139996,1774.3385973798277,48644.83575718182,0.0425,169.01623878428487,48813.851995966106
1,6,48813.851995966106,0.0,0.0,48813.851995966106,10000000.0,9951186.148004035,2.139996,1774.6248793320035,47039.2271166341,0.0425,163.43755958512938,47202.66467621923
1,7,47202.66467621923,0.0,0.0,47202.66467621923,10000000.0,9952797.33532378,2.139996,1774.9122072002958,45427.75246901894,0.0425,157.8384989737276,45585.59096799266
1,8,45585.59096799266,0.0,0.0,45585.59096799266,10000000.0,9954414.409032008,2.139996,1775.200584805905,43810.39038318676,0.0425,152.2189824876574,43962.60936567441
1,9,43962.60936567441,0.0,0.0,43962.60936567441,10000000.0,9956037.390634326,2.139996,1775.4900159839913,42187.11934969042,0.0425,146.57893539245217,42333.69828508288
1,10,42333.69828508288,0.0,0.0,42333.69828508288,10000000.0,9957666.301714918,2.139996,1775.7805045837265,40557.917780499156,0.0425,140.9182826806068,40698.83606317976
1,11,40698.83606317976,0.0,0.0,40698.83606317976,10000000.0,9959301.16393682,2.139996,1776.0720544683447,38922.76400871142,0.0425,135.23694907058024,39058.000957782
1,12,39058.000957782,0.0,0.0,39058.000957782,10000000.0,9960941.999042219,2.139996,1776.364669515196,37281.6362882668,0.0425,129.53485900579417,37411.171147272595
2,1,37411.171147272595,58720.0,1937.76,94193.4111472726,10000000.0,9905806.588852728,2.16,1783.045185993491,92410.36596127911,0.0425,321.0793548038399,92731.44531608294
2,2,92731.44531608294,0.0,0.0,92731.44531608294,10000000.0,9907268.554683916,2.16,1783.3083398431052,90948.13697623984,0.0425,315.99884750135175,91264.13582374119
2,3,91264.13582374119,0.0,0.0,91264.13582374119,10000000.0,9908735.864176258,2.16,1783.5724555517268,89480.56336818947,0.0425,310.8997703329159,89791.46313852239
2,4,89791.46313852239,0.0,0.0,89791.46313852239,10000000.0,9910208.536861477,2.16,1783.837536635066,88007.62560188732,0.0425,305.78205542343636,88313.40765731076
2,5,88313.40765731076,0.0,0.0,88313.40765731076,10000000.0,9911686.59234269,2.16,1784.1035866216844,86529.30407068908,0.0425,300.64563464972525,86829.9497053388
2,6,86829.9497053388,0.0,0.0,86829.9497053388,10000000.0,9913170.050294662,2.16,1784.3706090530395,85045.57909628577,0.0425,295.4904396395965,85341.06953592537
2,7,85341.06953592537,0.0,0.0,85341.06953592537,10000000.0,9914658.930464074,2.16,1784.6386074835336,83556.43092844184,0.0425,290.31640177095534,83846.74733021279
2,8,83846.74733021279,0.0,0.0,83846.74733021279,10000000.0,9916153.252669787,2.16,1784.9075854805617,82061.83974473223,0.0425,285.1234521708849,82346.96319690312
2,9,82346.96319690312,0.0,0.0,82346.96319690312,10000000.0,9917653.036803097,2.16,1785.1775466245576,80561.78565027856,0.0425,279.9115217147296,80841.69717199329
2,10,80841.69717199329,0.0,0.0,80841.69717199329,10000000.0,9919158.302828006,2.16,1785.4484945090412,79056.24867748425,0.0425,274.68054102517505,79330.92921850942
2,11,79330.92921850942,0.0,0.0,79330.92921850942,10000000.0,9920669.07078149,2.16,1785.7204327406685,77545.20878576876,0.0425,269.4304404713241,77814.63922624008
2,12,77814.63922624008,0.0,0.0,77814.63922624008,10000000.0,9922185.36077376,2.16,1785.9933649392772,76028.6458613008,0.0425,264.16115016777064,76292.80701146857
3,1,76292.80701146857,58720.0,1937.76,133075.04701146856,10000000.0,9866924.952988531,2.180004,1792.4946554345674,131282.552356034,0.0425,456.14057220743933,131738.69292824142
3,2,131738.69292824142,0.0,0.0,131738.69292824142,10000000.0,9868261.307071758,2.180004,1792.737426871805,129945.95550136961,0.0425,451.4965731142174,130397.45207448382
3,3,130397.45207448382,0.0,0.0,130397.45207448382,10000000.0,9869602.547925517,2.180004,1792.981086073985,128604.47098840984,0.0425,446.8355918766694,129051.30658028652
3,4,129051.30658028652,0.0,0.0,129051.30658028652,10000000.0,9870948.693419714,2.180004,1793.2256362874791,127258.08094399904,0.0425,442.15756639460534,127700.23851039364
3,5,127700.23851039364,0.0,0.0,127700.23851039364,10000000.0,9872299.761489606,2.180004,1793.471080770532,125906.76742962311,0.0425,437.4624343407475,126344.22986396386
3,6,126344.22986396386,0.0,0.0,126344.22986396386,10000000.0,9873655.770136036,2.180004,1793.7174227933033,124550.51244117056,0.0425,432.7501331599006,124983.26257433047
3,7,124983.26257433047,0.0,0.0,124983.26257433047,10000000.0,9875016.73742567,2.180004,1793.9646656379093,123189.29790869256,0.0425,428.0206000681176,123617.31850876068
3,8,123617.31850876068,0.0,0.0,123617.31850876068,10000000.0,9876382.681491239,2.180004,1794.2128125984689,121823.10569616221,0.0425,423.27377205186366,122246.37946821407
3,9,122246.37946821407,0.0,0.0,122246.37946821407,10000000.0,9877753.620531786,2.180004,1794.461866981148,120451.91760123293,0.0425,418.5095858671766,120870.4271871001
3,10,120870.4271871001,0.0,0.0,120870.4271871001,10000000.0,9879129.5728129,2.180004,1794.7118321042012,119075.71535499589,0.0425,413.727978038824,119489.44333303471
3,11,119489.44333303471,0.0,0.0,119489.44333303471,10000000.0,9880510.556666965,2.180004,1794.9627112980174,117694.48062173669,0.0425,408.9288848594577,118103.40950659614
3,12,118103.40950659614,0.0,0.0,118103.40950659614,10000000.0,9881896.590493403,2.180004,1795.214507905165,116308.19499869097,0.0425,404.1122423887649,116712.30724107975
4,1,116712.30724107975,58720.0,1937.76,173494.54724107974,10000000.0,9826505.45275892,2.199996,1801.5227241706511,171693.0245169091,0.0425,596.5465558193747,172289.57107272846
4,2,172289.57107272846,0.0,0.0,172289.57107272846,10000000.0,9827710.42892727,2.199996,1801.743636066523,170487.82743666193,0.0425,592.3591045858262,171080.18654124776
4,3,171080.18654124776,0.0,0.0,171080.18654124776,10000000.0,9828919.813458752,2.199996,1801.9653561608332,169278.22118508694,0.0425,588.1563337085296,169866.37751879546
4,4,169866.37751879546,0.0,0.0,169866.37751879546,10000000.0,9830133.622481205,2.199996,1802.1878874103465,168064.18963138512,0.0425,583.9381871411043,168648.12781852623
4,5,168648.12781852623,0.0,0.0,168648.12781852623,10000000.0,9831351.872181473,2.199996,1802.4112327826458,166845.7165857436,0.0425,579.7046086321265,167425.42119437573
4,6,167425.42119437573,0.0,0.0,167425.42119437573,10000000.0,9832574.578805624,2.199996,1802.6353952561713,165622.78579911956,0.0425,575.4555417243779,166198.24134084393
4,7,166198.24134084393,0.0,0.0,166198.24134084393,10000000.0,9833801.758659156,2.199996,1802.860377820259,164395.38096302366,0.0425,571.1909297540941,164966.57189277775
4,8,164966.57189277775,0.0,0.0,164966.57189277775,10000000.0,9835033.428107223,2.199996,1803.0861834751815,163163.48570930256,0.0425,566.9107158502078,163730.39642515278
4,9,163730.39642515278,0.0,0.0,163730.39642515278,10000000.0,9836269.603574848,2.199996,1803.3128152321876,161927.0836099206,0.0425,562.6148429335914,162489.6984528542
4,10,162489.6984528542,0.0,0.0,162489.6984528542,10000000.0,9837510.301547145,2.199996,1803.5402761135426,160686.15817674066,0.0425,558.3032537162946,161244.46143045695
4,11,161244.46143045695,0.0,0.0,161244.46143045695,10000000.0,9838755.538569544,2.199996,1803.76856915257,159440.6928613044,0.0425,553.9758907007819,159994.66875200518
4,12,159994.66875200518,0.0,0.0,159994.66875200518,10000000.0,9840005.331247995,2.199996,1803.9976973936884,158190.67105461148,0.0425,549.6326961791644,158740.30375079066
5,1,158740.30375079066,58720.0,1937.76,215522.54375079065,10000000.0,9784477.45624921,2.210004,1801.977859685048,213720.5658911056,0.0425,742.5710383333051,214463.1369294389
5,2,214463.1369294389,0.0,0.0,214463.1369294389,10000000.0,9785536.86307056,2.210004,1802.1729674611158,212660.96396197777,0.0425,738.8894567248541,213399.85341870264
5,3,213399.85341870264,0.0,0.0,213399.85341870264,10000000.0,9786600.146581298,2.210004,1802.3687891954378,211597.4846295072,0.0425,735.1944030978623,212332.67903260505
5,4,212332.67903260505,0.0,0.0,212332.67903260505,10000000.0,9787667.320967395,2.210004,1802.5653275006023,210530.11370510445,0.0425,731.4858281541464,211261.5995332586
5,5,211261.5995332586,0.0,0.0,211261.5995332586,10000000.0,9788738.400466742,2.210004,1802.7625849987585,209458.83694825982,0.0425,727.7636824151267,210186.60063067495
5,6,210186.60063067495,0.0,0.0,210186.60063067495,10000000.0,9789813.399369325,2.210004,1802.9605643216507,208383.64006635328,0.0425,724.0279162211664,209107.66798257444
5,7,209107.66798257444,0.0,0.0,209107.66798257444,10000000.0,9790892.332017425,2.210004,1803.159268110653,207304.5087144638,0.0425,720.2784797309088,208024.7871941947
5,8,208024.7871941947,0.0,0.0,208024.7871941947,10000000.0,9791975.212805806,2.210004,1803.358699016807,206221.4284951779,0.0425,716.515322920613,206937.94381809852
5,9,206937.94381809852,0.0,0.0,206937.94381809852,10000000.0,9793062.056181902,2.210004,1803.5588597008523,205134.38495839766,0.0425,712.7383955834857,205847.12335398115
5,10,205847.12335398115,0.0,0.0,205847.12335398115,10000000.0,9794152.87664602,2.210004,1803.7597528332674,204043.3636011479,0.0425,708.9476473290124,204752.3112484769
5,11,204752.3112484769,0.0,0.0,204752.3112484769,10000000.0,9795247.688751522,2.210004,1803.9613810943015,202948.3498673826,0.0425,705.1430275822838,203653.4928949649
5,12,203653.4928949649,0.0,0.0,203653.4928949649,10000000.0,9796346.507105036,2.210004,1804.1637471740132,201849.32914779088,0.0425,701.3244855833221,202550.6536333742
6,1,202550.6536333742,58720.0,1937.76,259332.8936333742,10000000.0,9740667.106366625,2.210004,1793.9094389782222,257538.98419439598,0.0425,894.817913789251,258433.80210818522
6,2,258433.80210818522,0.0,0.0,258433.80210818522,10000000.0,9741566.197891815,2.210004,1794.0750219671418,256639.72708621807,0.0425,891.6934494600272,257531.4205356781
6,3,257531.4205356781,0.0,0.0,257531.4205356781,10000000.0,9742468.579464322,2.210004,1794.241210874206,255737.1793248039,0.0425,888.5575517725758,256625.73687657647
6,4,256625.73687657647,0.0,0.0,256625.73687657647,10000000.0,9743374.263123423,2.210004,1794.4080079166515,254831.32886865982,0.0425,885.4101788887873,255716.73904754862
6,5,255716.73904754862,0.0,0.0,255716.73904754862,10000000.0,9744283.260952452,2.210004,1794.5754153198302,253922.1636322288,0.0425,882.2512888174541,254804.41492104626
6,6,254804.41492104626,0.0,0.0,254804.41492104626,10000000.0,9745195.585078953,2.210004,1794.7434353172355,253009.67148572902,0.0425,879.0808394137099,253888.75232514273
6,7,253888.75232514273,0.0,0.0,253888.75232514273,10000000.0,9746111.247674856,2.210004,1794.9120701505353,252093.8402549922,0.0425,875.8987883784678,252969.73904337065
6,8,252969.73904337065,0.0,0.0,252969.73904337065,10000000.0,9747030.26095663,2.210004,1795.0813220695995,251174.65772130105,0.0425,872.7050932578558,252047.3628145589
6,9,252047.3628145589,0.0,0.0,252047.3628145589,10000000.0,9747952.637185441,2.210004,1795.251193332531,250252.11162122636,0.0425,869.4997114426501,251121.611332669
6,10,251121.611332669,0.0,0.0,251121.611332669,10000000.0,9748878.38866733,2.210004,1795.4216862056962,249326.18964646332,0.0425,866.2826001677074,250192.47224663102
6,11,250192.47224663102,0.0,0.0,250192.47224663102,10000000.0,9749807.52775337,2.210004,1795.5928029637548,248396.87944366728,0.0425,863.0537165113933,249259.93316017868
6,12,249259.93316017868,0.0,0.0,249259.93316017868,10000000.0,9750740.066839822,2.210004,1795.7645458896895,247464.168614289,0.0425,859.8130173950104,248323.981631684
7,1,248323.981631684,58720.0,1937.76,305106.221631684,10000000.0,9694893.778368317,2.210004,1785.4795024807577,303320.7421292032,0.0425,1053.8864029850708,304374.6285321883
7,2,304374.6285321883,0.0,0.0,304374.6285321883,10000000.0,9695625.371467812,2.210004,1785.6142377871124,302589.0142944012,0.0425,1051.3440182791312,303640.3583126803
7,3,303640.3583126803,0.0,0.0,303640.3583126803,10000000.0,9696359.64168732,2.210004,1785.7494661306287,301854.6088465497,0.0425,1048.7923302200297,302903.40117676975
7,4,302903.40117676975,0.0,0.0,302903.40117676975,10000000.0,9697096.59882323,2.210004,1785.8851893154779,301117.5159874543,0.0425,1046.231304763989,302163.74729221826
7,5,302163.74729221826,0.0,0.0,302163.74729221826,10000000.0,9697836.252707781,2.210004,1786.0214091524338,300377.72588306584,0.0425,1043.6609077426544,301421.38679080846
7,6,301421.38679080846,0.0,0.0,301421.38679080846,10000000.0,9698578.613209192,2.210004,1786.1581274588973,299635.2286633496,0.0425,1041.0811048626397,300676.3097682122
7,7,300676.3097682122,0.0,0.0,300676.3097682122,10000000.0,9699323.690231787,2.210004,1786.2953460589176,298890.0144221533,0.0425,1038.491861705068,299928.5062838584
7,8,299928.5062838584,0.0,0.0,299928.5062838584,10000000.0,9700071.493716141,2.210004,1786.4330667832205,298142.07321707514,0.0425,1035.893143725114,299177.96636080026
7,9,299177.96636080026,0.0,0.0,299177.96636080026,10000000.0,9700822.0336392,2.210004,1786.5712914692306,297391.39506933105,0.0425,1033.2849162515424,298424.6799855826
7,10,298424.6799855826,0.0,0.0,298424.6799855826,10000000.0,9701575.320014417,2.210004,1786.7100219610952,296637.9699636215,0.0425,1030.667144486245,297668.6371081078
7,11,297668.6371081078,0.0,0.0,297668.6371081078,10000000.0,9702331.362891892,2.210004,1786.849260109711,295881.7878479981,0.0425,1028.0397935037772,296909.82764150185
7,12,296909.82764150185,0.0,0.0,296909.82764150185,10000000.0,9703090.172358498,2.210004,1786.9890077727473,295122.8386337291,0.0425,1025.4028282508912,296148.24146198
8,1,296148.24146198,58720.0,1937.76,352930.48146198,10000000.0,9647069.51853802,2.25,1808.825534725879,351121.6559272541,0.0425,1219.9704391390135,352341.6263663931
8,2,352341.6263663931,0.0,0.0,352341.6263663931,10000000.0,9647658.373633606,2.25,1808.9359450563013,350532.6904213368,0.0425,1217.9240814314714,351750.61450276827
8,3,351750.61450276827,0.0,0.0,351750.61450276827,10000000.0,9648249.385497231,2.25,1809.0467597807308,349941.56774298754,0.0425,1215.8702286390928,351157.43797162664
8,4,351157.43797162664,0.0,0.0,351157.43797162664,10000000.0,9648842.562028373,2.25,1809.1579803803197,349348.2799912463,0.0425,1213.8088533100315,350562.0888445563
8,5,350562.0888445563,0.0,0.0,350562.0888445563,10000000.0,9649437.911155444,2.25,1809.2696083416458,348752.8192362147,0.0425,1211.7399278918954,349964.55916410655
8,6,349964.55916410655,0.0,0.0,349964.55916410655,10000000.0,9650035.440835893,2.25,1809.38164515673,348155.17751894984,0.0425,1209.663424731377,349364.8409436812
8,7,349364.8409436812,0.0,0.0,349364.8409436812,10000000.0,9650635.159056319,2.25,1809.4940923230597,347555.34685135813,0.0425,1207.5793160738851,348762.92616743204
8,8,348762.92616743204,0.0,0.0,348762.92616743204,10000000.0,9651237.073832568,2.25,1809.6069513436064,346953.31921608845,0.0425,1205.487574063173,348158.80679015163
8,9,348158.80679015163,0.0,0.0,348158.80679015163,10000000.0,9651841.19320985,2.25,1809.7202237268468,346349.0865664248,0.0425,1203.3881707409669,347552.4747371658
8,10,347552.4747371658,0.0,0.0,347552.4747371658,10000000.0,9652447.525262835,2.25,1809.8339109867816,345742.640826179,0.0425,1201.2810780465904,346943.9219042256
8,11,346943.9219042256,0.0,0.0,346943.9219042256,10000000.0,9653056.078095775,2.25,1809.9480146429578,345133.9738895826,0.0425,1199.1662678165922,346333.14015739923
8,12,346333.14015739923,0.0,0.0,346333.14015739923,10000000.0,9653666.8598426,2.25,1810.0625362204876,344523.07762117876,0.0425,1197.0437117843676,345720.1213329631
9,1,345720.1213329631,58720.0,1937.76,402502.3613329631,10000000.0,9597497.638667038,2.28,1823.5245513467369,400678.8367816164,0.0425,1392.1566164049173,402070.9933980213
