# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Female Nonsmoker
# Table: 433
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
36	0.00022	0.0003	0.00037	0.00045	0.00054	0.00063	0.00071	0.0008	0.00091	0.00101	0.00112	0.00125	0.00139	0.00155	0.00173	0.00193	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0.00023	0.00033	0.00041	0.0005	0.00059	0.00067	0.00076	0.00087	0.00097	0.00108	0.00121	0.00134	0.0015	0.00168	0.00187	0.0021	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0.00025	0.00036	0.00046	0.00055	0.00063	0.00072	0.00083	0.00093	0.00104	0.00116	0.0013	0.00145	0.00162	0.00182	0.00204	0.00229	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0.00028	0.0004	0.0005	0.00058	0.00067	0.00078	0.00088	0.00099	0.00111	0.00125	0.0014	0.00157	0.00176	0.00198	0.00223	0.00251	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0.00031	0.00044	0.00053	0.00063	0.00073	0.00083	0.00094	0.00106	0.00119	0.00134	0.00151	0.0017	0.00191	0.00216	0.00244	0.00275	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0.00033	0.00047	0.00057	0.00068	0.00078	0.00089	0.00101	0.00114	0.00129	0.00145	0.00164	0.00185	0.00209	0.00236	0.00267	0.00303	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0.00036	0.0005	0.00062	0.00072	0.00083	0.00095	0.00108	0.00123	0.00139	0.00157	0.00178	0.00202	0.00229	0.00259	0.00294	0.00334	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0.00038	0.00054	0.00065	0.00077	0.00089	0.00102	0.00117	0.00133	0.00151	0.00171	0.00194	0.00221	0.00251	0.00285	0.00324	0.00369	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0.00041	0.00058	0.0007	0.00082	0.00096	0.0011	0.00126	0.00144	0.00164	0.00187	0.00213	0.00242	0.00276	0.00314	0.00359	0.00409	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0.00043	0.00061	0.00075	0.00088	0.00103	0.00119	0.00137	0.00156	0.00179	0.00204	0.00233	0.00266	0.00304	0.00348	0.00397	0.00455	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0.00046	0.00066	0.0008	0.00095	0.00111	0.00129	0.00148	0.0017	0.00196	0.00224	0.00257	0.00294	0.00336	0.00385	0.00441	0.00506	0.00564	0.00629	0.00703	0.00786	0.00881	0.00987	0.01107	0.01242	0.01394	0.01565	0.01756	0.01972	0.02213	0.02484	0.02786	0.03124	0.03502	0.03923	0.04392	0.04914	0.05494	0.06138	0.06853	0.07645	0.08522	0.09491	0.1056	0.11739	0.13036	0.14462	0.16026	0.17739	0.1961	0.2165	0.23867	0.26269	0.28864	0.31656	0.34857	0.39518	0.46897	0.58255	0.74852	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
