# Select Table
#
# 1986-92 Canadian Institute of Actuaries (CIA) - Male Nonsmoker
# Table: 436
#
# Basis: Age Nearest Birthday
# Minimum Select Age: 16
# Maximum Select Age: 80
#  
# Nation: Canada
# Scaling Factor: 0
# Data Type: Floating Point
# Row, Column (if applicable)->id:            Age Duration
# Row, Column (if applicable)->ScaleType:     Age "Ordinal Date"
# Row, Column (if applicable)->AxisName:      Age Duration
# Row, Column (if applicable)->MinScaleValue: 16   1
# Row, Column (if applicable)->MaxScaleValue: 80  15
# Row, Column (if applicable)->Increment:      1   1
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89
36	0.0007	0.00089	0.00103	0.00118	0.00136	0.0016	0.00187	0.0022	0.00257	0.00301	0.00352	0.00412	0.0048	0.00559	0.0065	0.00754	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0.0007	0.00091	0.00107	0.00125	0.00149	0.00176	0.00208	0.00244	0.00287	0.00337	0.00395	0.00462	0.00539	0.00628	0.00729	0.00846	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0.00072	0.00094	0.00114	0.00137	0.00164	0.00195	0.00231	0.00273	0.00321	0.00377	0.00442	0.00518	0.00604	0.00704	0.00817	0.00947	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0.00075	0.001	0.00124	0.00151	0.00181	0.00216	0.00257	0.00304	0.00359	0.00423	0.00496	0.00581	0.00677	0.00789	0.00915	0.0106	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0.00079	0.00109	0.00137	0.00167	0.00201	0.00241	0.00287	0.00341	0.00402	0.00474	0.00556	0.00651	0.00759	0.00883	0.01024	0.01184	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0.00085	0.0012	0.00151	0.00185	0.00224	0.00269	0.00321	0.00381	0.00451	0.00531	0.00623	0.00729	0.00849	0.00987	0.01143	0.01321	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0.00093	0.00132	0.00167	0.00206	0.0025	0.00301	0.00359	0.00427	0.00505	0.00595	0.00697	0.00815	0.00949	0.01102	0.01275	0.01471	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0.00102	0.00146	0.00185	0.00229	0.00279	0.00336	0.00402	0.00478	0.00565	0.00665	0.0078	0.00911	0.0106	0.01229	0.0142	0.01636	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0.00113	0.00162	0.00206	0.00255	0.00312	0.00376	0.0045	0.00535	0.00632	0.00744	0.00871	0.01017	0.01181	0.01368	0.01579	0.01817	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0.00124	0.00179	0.0023	0.00285	0.00348	0.0042	0.00503	0.00598	0.00706	0.00831	0.00972	0.01133	0.01315	0.01521	0.01753	0.02014	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0.00137	0.00199	0.00256	0.00318	0.00389	0.0047	0.00562	0.00668	0.00788	0.00926	0.01083	0.01261	0.01461	0.01688	0.01943	0.02229	0.02463	0.02717	0.02991	0.03288	0.03609	0.03954	0.04325	0.04723	0.05149	0.05604	0.06091	0.06608	0.07159	0.07744	0.08365	0.09022	0.09716	0.1045	0.11223	0.12039	0.12897	0.13801	0.14751	0.15751	0.16802	0.17907	0.19071	0.20298	0.21592	0.22959	0.24406	0.2594	0.2757	0.29306	0.31158	0.33138	0.35257	0.37528	0.40179	0.44301	0.51177	0.62086	0.78319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
