Year,Month,FV_BOY,Deposit,TAX,FV1,FaceValue,NAAR,COI_Rate,COI,FV_Net,AnnualRate,Growth,FV_EOY
1,1,0.0,61569.0,2031.777,59537.223,10000000.0,9940462.777,2.139996,1772.712548410741,57764.51045158926,0.0525,246.83513350921405,58011.345585098476
1,2,58011.345585098476,0.0,0.0,58011.345585098476,10000000.0,9941988.654414902,2.139996,1772.9846627077725,56238.360922390704,0.0525,240.31370158068663,56478.67462397139
1,3,56478.67462397139,0.0,0.0,56478.67462397139,10000000.0,9943521.325376028,2.139996,1773.2579885182831,54705.416635453104,0.0525,233.7632347842002,54939.179870237305
1,4,54939.179870237305,0.0,0.0,54939.179870237305,10000000.0,9945060.820129763,2.139996,1773.532531236201,53165.6473390011,0.0525,227.18360385005346,53392.83094285116
1,5,53392.83094285116,0.0,0.0,53392.83094285116,10000000.0,9946607.16905715,2.139996,1773.8082962794685,51619.02264657169,0.0525,220.57467893300768,51839.5973255047
1,6,51839.5973255047,0.0,0.0,51839.5973255047,10000000.0,9948160.402674496,2.139996,1774.0852890901506,50065.51203641455,0.0525,213.93632960972403,50279.44836602427
1,7,50279.44836602427,0.0,0.0,50279.44836602427,10000000.0,9949720.551633976,2.139996,1774.3635151345418,48505.084850889725,0.0525,207.26842487619,48712.35327576591
1,8,48712.35327576591,0.0,0.0,48712.35327576591,10000000.0,9951287.646724233,2.139996,1774.6429799032726,46937.71029586264,0.0525,200.57083314513415,47138.28112900777
1,9,47138.28112900777,0.0,0.0,47138.28112900777,10000000.0,9952861.718870992,2.139996,1774.9236889114206,45363.357440096355,0.0525,193.84342224342896,45557.200862339785
1,10,45557.200862339785,0.0,0.0,45557.200862339785,10000000.0,9954442.79913766,2.139996,1775.205647698616,43781.99521464117,0.0525,187.08605940948289,43969.08127405065
1,11,43969.08127405065,0.0,0.0,43969.08127405065,10000000.0,9956030.918725949,2.139996,1775.4888618291545,42193.5924122215,0.0525,180.2986112906201,42373.89102351212
1,12,42373.89102351212,0.0,0.0,42373.89102351212,10000000.0,9957626.108976487,2.139996,1775.7733368921038,40598.11768662002,0.0525,173.480943940449,40771.59863056047
2,1,40771.59863056047,61569.0,2031.777,100308.82163056047,10000000.0,9899691.17836944,2.16,1781.9444121064994,98526.87721845397,0.0525,421.01793475502257,98947.895153209
2,2,98947.895153209,0.0,0.0,98947.895153209,10000000.0,9901052.10484679,2.16,1782.1893788724226,97165.70577433657,0.0525,415.20147526266305,97580.90724959923
2,3,97580.90724959923,0.0,0.0,97580.90724959923,10000000.0,9902419.0927504,2.16,1782.4354366950722,95798.47181290416,0.0525,409.35910985923186,96207.83092276339
2,4,96207.83092276339,0.0,0.0,96207.83092276339,10000000.0,9903792.169077236,2.16,1782.6825904339028,94425.14833232948,0.0525,403.4907231624714,94828.63905549195
2,5,94828.63905549195,0.0,0.0,94828.63905549195,10000000.0,9905171.360944508,2.16,1782.9308449700115,93045.70821052193,0.0525,397.5961992762231,93443.30440979815
2,6,93443.30440979815,0.0,0.0,93443.30440979815,10000000.0,9906556.695590202,2.16,1783.1802052062365,91660.1242045919,0.0525,391.675421788139,92051.79962638005
2,7,92051.79962638005,0.0,0.0,92051.79962638005,10000000.0,9907948.20037362,2.16,1783.4306760672516,90268.3689503128,0.0525,385.7282737673825,90654.09722408018
2,8,90654.09722408018,0.0,0.0,90654.09722408018,10000000.0,9909345.902775919,2.16,1783.6822624996657,88870.4149615805,0.0525,379.75463776231913,89250.16959934283
